seed,stress_level,method,task_success,deployed_violation,unshielded_violation,intervention_rate,intervention_severity,filter_dependence,boundary_f1,boundary_ece,transfer_violation,recovery_success,robust_utility,mechanism_utility,action_regret
1,0.8,oracle_boundary_teacher,0.425000,0.194444,0.886111,1.000000,0.097950,0.170400,0.902439,0.016982,0.661111,0.691667,0.200899,0.103794,0.344901
1,0.8,recovery_policy_shield,0.408333,0.383333,0.916667,0.966667,0.202740,0.677717,0.891304,0.119503,0.897222,0.530556,-0.072992,-0.212209,0.526819
1,0.8,robust_mpc_shield,0.497222,0.280556,0.930556,0.994444,0.252955,0.847750,0.902141,0.154326,0.938889,0.652778,0.032425,-0.306786,0.523195
1,0.8,safety_filter_distillation,0.177778,0.600000,0.913889,0.986111,0.148364,0.336100,0.897081,0.123134,0.830556,0.330556,-0.364316,-0.066784,0.593882
1,0.8,shielded_behavior_cloning,0.094444,0.747222,0.913889,0.858333,0.134913,0.374133,0.842975,0.170990,0.902778,0.188889,-0.548534,-0.106933,0.669803
1,0.8,unfiltered_policy,0.019444,0.936111,0.927778,0.000000,0.000000,0.000000,0.000000,0.623560,0.927778,0.000000,-0.634807,0.024322,0.695667
1,1.0,action_clipping_filter,0.094444,0.658333,0.955556,0.986111,0.257145,0.810072,0.913767,0.174309,0.952778,0.308333,-0.617831,-0.344808,0.736073
1,1.0,adversarial_safety_critic,0.086111,0.708333,0.936111,0.877778,0.147240,0.369356,0.868167,0.259215,0.900000,0.247222,-0.534236,-0.127356,0.654670
1,1.0,boundary_learning_filter_v4,0.127778,0.633333,0.905556,0.991667,0.155592,0.331625,0.917044,0.110311,0.869444,0.291667,-0.437192,-0.071395,0.609313
1,1.0,cbf_safety_filter,0.344444,0.333333,0.944444,0.994444,0.278591,0.892478,0.915663,0.193208,0.952778,0.611111,-0.176340,-0.351773,0.589821
1,1.0,conformal_uncertainty_shield,0.250000,0.400000,0.944444,1.000000,0.333840,0.926350,0.918919,0.264791,0.938889,0.550000,-0.337822,-0.374350,0.639253
1,1.0,counterfactual_boundary_learning_filter_v5,0.169444,0.597222,0.919444,0.988889,0.165653,0.264756,0.918429,0.122285,0.813889,0.341667,-0.359768,-0.043654,0.575610
1,1.0,geometric_projection_filter,0.119444,0.602778,0.938889,0.877778,0.192294,0.686294,0.858521,0.240700,0.947222,0.358333,-0.513067,-0.266228,0.683568
